TeamName,Abbreviation
Air Force Academy,AFA
American University,American
Arizona State University,ASU
Binghamton University,Bing
Bloomsburg University,Bloom
Brown University,Brown
Bucknell University,Bucknell
California Polytechnic State University,CalPoly
California State University Bakersfield,CUSB
Campbell University,Campbell
Central Michigan University,CMU
Clarion University,Clarion
Cleveland State University,CSU
Columbia University,Columbia
Cornell University,Cornell
Davidson College,Davidson
Drexel University,Drexel
Duke University,Duke
Edinboro University,Edinboro
Franklin and Marshall College,FM
Fresno State University,FSU
Gardner Webb University,GWU
George Mason University,GMU
Harvard University,Harvard
Hofstra University,Hofstra
Indiana University,Indiana
Iowa State University,ISU
Kent State University,KSU
Lehigh University,Lehigh
Lock Haven University,LHU
Michigan State University,MSU
Naval Academy,Navy
North Carolina State University,NCSU
North Dakota State University,NDSU
Northern Illinois University,NIU
Northwestern University,Northwestern
Ohio University,Ohio
Oklahoma State University,OkSU
Old Dominion University,ODU
Oregon State University,OregonState
Pennsylvania State University,PSU
Princeton University,Princeton
Purdue University,Purdue
Rider University,Rider
Rutgers University,Rutgers
Sacred Heart University,SHU
South Dakota State University,SDSU
Southern Illinois University Edwardsville,SIUE
Stanford University,Stanford
The Citadel,Citadel
The Ohio State University,tOSU
The University of Iowa,Iowa
The University of Nebraska,Nebraska
The University of North Carolina,UNC
The University of Oklahoma,Oklahoma
The University of Tennessee at Chattanooga,UTC
University at Buffalo,Buffalo
University of Illinois,Illinois
University of Maryland,Maryland
University of Michigan,Michigan
University of Minnesota,Minnesota
University of Missouri,Missouri
University of Northern Colorado,NorthernColo
University of Northern Iowa,UNI
University of Pennsylvania,Penn
University of Pittsburgh,Pitt
University of Virginia,Virginia
University of Wisconsin,Wisconsin
University of Wyoming,Wyoming
Utah Valley University,UVU
Virginia Military Institute,VMI
Virginia Tech University,VT
West Virginia University,WVU
