APM,Drate,Da,Date,Dc2,Dc4,Duration,Exposure,Focus,FocusPoints,FocusTeam,GBrate,GBa,GBc2,Gut,HIrate,HIa,HIc2,HIc4,HOrate,HOa,HOc2,HOc4,LegLace,LSrate,LSa,LSc2,LSc4,MatchID,MoV,NPF,oAPM,oDrate,oDa,oDc2,oDc4,oExposure,oGBrate,oGBa,oGBc2,oGut,oHIrate,oHIa,oHIc2,oHIc4,oHOrate,oHOa,oHOc2,oHOc4,oLegLace,oLSrate,oLSa,oLSc2,oLSc4,oNPF,oPassive,oPushout,oRecovery,OppPoints,oTrate,oTa,oTc2,oTc4,OppTeam,oTurn,oViolation,oVS,Opponent,Passive,Pushout,Recovery,Result,Trate,Ta,Tc2,Tc4,Turn,Violation,VS,Weight,PassiveDiff,NumResult,BinaryResult,BinaryResultText,ResultType
15.00,0.00,2,2019-05-17,0,0,360.31,0,Jason Nolf,2,USA,25.00,4,1,0,0.00,5,0,0,0.00,0,0,0,0,0.00,3,0,0,ZU1L,-10,0.97,21.00,0.00,0,0,0,0,28.57,7,2,0,100.00,1,1,0,0.00,1,0,0,0,0.00,0,0,0,1.03,0,1,0,12,100.00,1,0,1,USA,0,0,23.47,Isaiah Martinez,0,0,0,LossTF,0.00,0,0,0,0,1,19.97,74,0,0.0,0,Loss,Tech
11.00,0.00,2,2019-05-17,0,0,360.43,0,Mario Mason,3,USA,0.00,2,0,0,25.00,4,1,0,0.00,1,0,0,0,0.00,1,0,0,I8Q6,-2,1.12,11.00,50.00,2,0,1,0,0.00,4,0,0,0.00,0,0,0,0.00,1,0,0,0,0.00,2,0,0,0.88,2,1,0,5,0.00,0,0,0,USA,0,1,12.50,James Green,1,0,0,LossD,0.00,0,0,0,0,0,20.35,70,-1,0.9,0,Loss,Decision
11.00,50.00,2,2019-05-17,0,1,360.43,0,James Green,5,USA,0.00,4,0,0,0.00,0,0,0,0.00,1,0,0,0,0.00,2,0,0,I8Q6*,2,0.88,11.00,0.00,2,0,0,0,0.00,2,0,0,25.00,4,1,0,0.00,1,0,0,0,0.00,1,0,0,1.12,1,0,0,3,0.00,0,0,0,USA,0,0,20.35,Mario Mason,2,1,0,WinD,0.00,0,0,0,0,1,12.50,70,1,1.1,1,Win,Decision
15.00,0.00,4,2019-05-17,0,0,360.29,1,Jason Ness,4,USA,0.00,3,0,0,0.00,4,0,0,0.00,1,0,0,0,0.00,1,0,0,E5F8*,-4,0.71,14.00,0.00,0,0,0,0,33.33,3,1,0,50.00,2,0,1,0.00,2,0,0,0,0.00,0,0,0,1.29,1,0,0,8,0.00,0,0,0,USA,1,0,30.81,Frank Molinaro,2,2,0,LossD,0.00,0,0,0,0,0,8.57,65,1,0.9,0,Loss,Decision
15.00,100.00,1,2019-05-17,1,0,362.16,2,Kenneth Courts,8,USA,20.00,5,1,0,0.00,1,0,0,0.00,1,0,0,0,0.00,0,0,0,P2IY,-1,0.80,18.00,33.33,3,1,0,2,0.00,2,0,0,0.00,1,0,0,0.00,0,0,0,0,33.33,3,1,0,1.20,0,1,0,9,0.00,0,0,0,USA,0,0,16.59,Drew Foster,1,0,0,LossD,0.00,0,0,0,0,0,19.38,86,1,0.9,0,Loss,Decision
13.00,0.00,0,2019-05-17,0,0,360.53,0,Garrett Ryan,9,USA,25.00,4,1,2,50.00,2,1,0,0.00,0,0,0,0,0.00,1,0,0,KIZ5*,8,1.23,9.00,0.00,1,0,0,0,0.00,0,0,0,0.00,4,0,0,0.00,2,0,0,0,0.00,3,0,0,0.77,1,0,0,1,0.00,0,0,0,USA,0,0,15.25,Tate Orndorff,2,1,0,WinD,0.00,0,0,0,0,1,17.27,125,1,1.1,1,Win,Decision
21.00,33.33,3,2019-05-17,0,1,361.18,1,Ben Honis,10,USA,0.00,5,0,1,0.00,2,0,0,0.00,0,0,0,0,100.00,1,1,0,9AL8,2,0.80,21.00,0.00,0,0,0,0,0.00,4,0,0,33.33,3,1,0,100.00,1,1,0,0,0.00,3,0,0,1.20,0,0,0,8,50.00,2,0,1,USA,0,0,7.73,Jeremiah Imonode,0,0,0,WinD,0.00,0,0,0,0,0,28.61,97,0,1.1,1,Win,Decision
7.00,0.00,1,2019-05-17,0,0,360.25,0,Nick Nevills,3,USA,0.00,1,0,0,20.00,5,1,0,0.00,0,0,0,0,0.00,0,0,0,R4U8,-2,1.25,7.00,0.00,0,0,0,0,50.00,2,1,0,0.00,1,0,0,0.00,1,0,0,0,0.00,0,0,0,0.75,1,2,0,5,0.00,0,0,0,USA,0,0,12.24,Tate Orndorff,2,1,0,LossD,0.00,0,0,0,0,1,16.06,125,1,0.9,0,Loss,Decision
9.00,0.00,1,2019-05-17,0,0,360.53,0,Tate Orndorff,1,USA,0.00,0,0,0,0.00,4,0,0,0.00,2,0,0,0,0.00,3,0,0,KIZ5,-8,0.77,13.00,0.00,0,0,0,0,25.00,4,1,2,50.00,2,1,0,0.00,0,0,0,0,0.00,1,0,0,1.23,2,1,0,9,0.00,0,0,0,USA,0,1,17.27,Garrett Ryan,1,0,0,LossD,0.00,0,0,0,0,0,15.25,125,-1,0.9,0,Loss,Decision
18.00,33.33,3,2019-05-17,1,0,362.16,2,Drew Foster,9,USA,0.00,2,0,0,0.00,1,0,0,0.00,0,0,0,0,33.33,3,1,0,P2IY*,1,1.20,15.00,100.00,1,1,0,2,20.00,5,1,0,0.00,1,0,0,0.00,1,0,0,0,0.00,0,0,0,0.80,1,0,0,8,0.00,0,0,0,USA,0,0,19.38,Kenneth Courts,0,1,0,WinD,0.00,0,0,0,0,0,16.59,86,-1,1.1,1,Win,Decision
