matchID_id,event_num,event_lab,event_time,blue,red
0055,1,bpassive,46.54,0,0
0055,2,rpushout,79.7,0,1
0055,3,bhoa,89.29,0,1
0055,4,bhoa,94.55,0,1
0055,5,rpushout,95.78,0,2
0055,6,btv1,95.78,0,3
0055,7,rgba,185.55,0,3
0055,8,rgbc,191.02,0,5
0055,9,bhoa,284.29,0,5
0055,10,rgba,285.37,0,5
0055,11,rpushout,321.14,0,6
0055,12,bhoa,349.08,0,6
0055,13,rgba,350.19,0,6
01JJ,1,rhoa,1.87,0,0
01JJ,2,bhia,15.29,0,0
01JJ,3,bhic2,17.99,2,0
01JJ,4,bda,42.87,2,0
01JJ,5,rgba,43.93,2,0
01JJ,6,rgba,100.06,2,0
01JJ,7,bgba,119.7,2,0
01JJ,8,bhia,131.23,2,0
01JJ,9,rgba,132.73,2,0
01JJ,10,bhic2,133.93,4,0
01JJ,11,bhia,188.67,4,0
01JJ,12,rgba,189.9,4,0
01JJ,13,rtv1,196.13,5,0
01JJ,14,blsa,207.2,5,0
01JJ,15,rgba,208.28,5,0
01JJ,16,rexposure,212.17,5,2
01JJ,17,bhia,226.94,5,2
01JJ,18,bhia,236.73,5,2
01JJ,19,rgba,237.95,5,2
01JJ,20,bhic2,240.44,7,2
01JJ,21,rda,296.67,7,2
01JJ,22,rhoa,304.58,7,2
01JJ,23,bgba,309.25,7,2
01JJ,24,bhia,338.3,7,2
01JJ,25,rgba,340.66,7,2
01JJ,26,rexposure,343.24,7,4
01JJ,27,brecovery,347.93,8,4
06JY,1,bpassive,41.53,0,0
06JY,2,rhoa,49.37,0,0
06JY,3,bhia,50.44,0,0
06JY,4,rgba,51.81,0,0
06JY,5,rhoa,63.04,0,0
06JY,6,bgba,64.49,0,0
06JY,7,rhoc2,66.24,0,2
06JY,8,bgba,87.03,0,2
06JY,9,bhia,104.11,0,2
06JY,10,bhic2,105.72,2,2
06JY,11,bturn,119.51,4,2
06JY,12,bturn,126.03,6,2
06JY,13,rhoa,161.35,6,2
06JY,14,bhoa,188.43,6,2
06JY,15,rgba,190.21,6,2
06JY,16,rpushout,196.82,6,3
06JY,17,rhia,213.1,6,3
06JY,18,bgba,214.54,6,3
06JY,19,blsa,240.82,6,3
06JY,20,rgba,242.39,6,3
06JY,21,bhoa,269.25,6,3
06JY,22,bgba,283.56,6,3
06JY,23,bgbc,284.39,8,3
06JY,24,rlsa,303.12,8,3
06JY,25,bgba,305.05,8,3
06JY,26,rlsc2,307.26,8,5
06JY,27,rhia,322.33,8,5
06JY,28,bgba,323.37,8,5
06JY,29,bhia,336.02,8,5
06JY,30,rgba,337.23,8,5
08VF,1,rhia,15.13,0,0
08VF,2,rhic2,17.06,0,2
08VF,3,rhia,54.5,0,2
08VF,4,rhia,71.8,0,2
08VF,5,bpassive,89.04,0,2
08VF,6,bhia,125.48,0,2
08VF,7,rgba,126.9,0,2
08VF,8,rda,130.83,0,2
08VF,9,bgba,132.06,0,2
08VF,10,rtv1,142.92,1,2
08VF,11,bda,199.66,1,2
08VF,12,rgba,201.66,1,2
08VF,13,bdc2,219.72,3,2
08VF,14,rhia,249.15,3,2
08VF,15,bgba,249.92,3,2
08VF,16,bhia,272.43,3,2
08VF,17,rlsa,281.83,3,2
08VF,18,bgba,283.13,3,2
08VF,19,rlsc2,286.28,3,4
08VF,20,rleglace,288.86,3,6
08VF,21,bhia,318.64,3,6
08VF,22,rgba,320.02,3,6
08VF,23,bhic2,337.19,5,6
08VF,24,bhia,351.21,5,6
08VF,25,bhia,354.63,5,6
