name,rating,team_id
Robert Rehm,968,USA
Paul Glynn,984,USA
Blaize Cabell,959,USA
Ben Whitford,1038,USA
Johnni DiJulius,993,USA
Monte Britton,980,USA
Donald Mcneil,994,USA
Beau Bartlett,1018,USA
Brian Alonzo,940,USA
Kyle Jennings,942,USA
Phillip Landis,981,USA
Ty Lydic,991,USA
James Steerman,958,USA
Denzel Hawkins,926,USA
Brandon Metz,980,USA
Wyatt Gerl,972,USA
Kyle Matthews,928,USA
Angel Soto,961,USA
Michael Thelen,973,USA
Josh Reyes,963,USA
Morgan Fuenffinger,981,USA
Zach Schrader,983,USA
Jordan Karst,998,USA
Jeren Glosser,1011,USA
Jake Keating,1060,USA
AJ Nevills,994,USA
Kevin Jack,1056,USA
Elroy Perkin,1061,USA
CJ Brucki,1023,USA
Ceron Francisco,999,USA
Christian Lance,1025,USA
Tanner Hall,1016,USA
Patrick Rhoads,970,USA
Gabriel Camarillo,941,USA
Morgan Smith,977,USA
Trenton Allen,993,USA
James Romero,1002,USA
Jonathan Graziane,982,USA
Devan Turner,1013,USA
Jamarcus Grant,946,USA
Timothy Smith,1009,USA
Wynn Michalak,1075,USA
Conrad Cole,993,USA
Trevor Rasmussen,959,USA
Juan Vallejo,972,USA
Carlos Herrera,957,USA
Renaldo Rodriguez Spencer,989,USA
Russell Rohlfing,956,USA
Jordan Eley,957,USA
Sam Martino,967,USA
Noel Orozco,1023,USA
Kyle Kintz,999,USA
Eric Schwark,958,USA
Max Thomsen,979,USA
Lavion Mayes,1011,USA
Jarrod Snyder,959,USA
Connor Keating,962,USA
Jarod Verkleeren,988,USA
Justin Deangelis,1033,USA
J Benton,978,USA
Daniel Curran,988,USA
Chance Goodman,993,USA
Rulin Pederson,966,USA
Mauro Correnti,977,USA
Shabaka Johns,1010,USA
Imani Heslop,994,USA
Muhamed Mcbryde,1002,USA
Joshua Lopez,976,USA
Matthew Voss,1030,USA
Andrew Morgan,961,USA
Haszell West,969,USA
Nicholas Nottingham,901,USA
Jackson Striggow,983,USA
Fernando Serje,993,USA
Austin Assad,1018,USA
Luakas Poloncic,974,USA
David Richardson,999,USA
Ruger Wyneken,1002,USA
Andrew Mitchell,958,USA
Tanner Orndorff,1010,USA
Kevin Johnson,994,USA
Bracken Lovell,961,USA
Joshua Asper,1086,USA
Dominic Ducharme,991,USA
Jordan Conaway,973,USA
Kevin Radford,991,USA
Artie Bess,993,USA
Brett Hochstaetter,958,USA
Austin Farbaugh,941,USA
Micah Arakawa,958,USA
Evan Hansen,1014,USA
Anthony Nelson,1069,USA
Nikko Reyes,1007,USA
Patrick Brucki,1019,USA
Kollin Moore,1030,USA
Hayden Zillmer,1063,USA
Derek White,1050,USA
Shelton Mack,1010,USA
Garrett Ryan,1105,USA
Ben Honis,1047,USA
Timothy Dudley,1032,USA
Kyven Gadson,1068,USA
Kevin Beazley,1073,USA
Ty Walz,1040,USA
Bo Nickal,1161,USA
Alec Pantaleo,1062,USA
James Green,1140,USA
Jason Chamberlain,1091,USA
Joey Palmer,1018,USA
Tyler Graff,1160,USA
Earl Hall,997,USA
Anthony Ramos,991,USA
Nicholas Dardanes,1027,USA
Mitchell Mckee,1011,USA
Quinton Godley,1026,USA
Daniel Ownbey,957,USA
Michael Seijo,957,USA
Joey McKenna,998,USA
Timothy Romero,1018,USA
Jason Ness,1142,USA
Ian Timmins,999,USA
Edward Klimara,1032,USA
Shane Kim,943,USA
Kyle Waldo,1002,USA
Jarrod Patterson,1050,USA
Jesus Rosado,960,USA
Bernardino Gomez,1000,USA
Corey Shie,978,USA
Zachary Whitsel,979,USA
Chase Farr,976,USA
Peter Lipari,960,USA
Daton Fix,1115,USA
David White,971,USA
Christian Sharp,958,USA
Austin Miller,1020,USA
Ryan Evans,974,USA
Tristan Moran,982,USA
Nicolas Aguilar,959,USA
Luke Welch,965,USA
Seth Lisowski,959,USA
Colby Duncan,985,USA
Britain Longmire,1004,USA
Joshua Portillo,986,USA
Nick Piccininni,1028,USA
Skyler Petry,990,USA
Justin Portillo,964,USA
Graham Shore,962,USA
Robert Garcia Iv,954,USA
Nathan Tomasello,954,USA
Vitali Arujau,1066,USA
Ryan Rochford,994,USA
Austin Kraisser,999,USA
Tanner Skidgel,992,USA
Dillion Ulrey,989,USA
Patrick Romero,1000,USA
Matthew Malcom,1046,USA
Yianni Diakomihalis,1083,USA
Steven Pami,999,USA
Darius Pittman,991,USA
Hicks James,961,USA
Ethan Vistro,967,USA
Erik Hinckley,942,USA
Donald Negus,1012,USA
Hunter Mooring,961,USA
Leonel Perez,943,USA
Emmanuel Cabello,980,USA
Marco Retano,994,USA
Jake Lanning,958,USA
Ernesto Garcia,945,USA
Kizhan Clarke,994,USA
Drew Mandell,958,USA
Deondre Wilson,1003,USA
Wyatt Sheets,1013,USA
DeLonn Eatmon,965,USA
Chayse Jackson,965,USA
Ryan Deakin,1097,USA
Joshua Kindig,938,USA
Anthony Collica,1012,USA
Ryan Cone,974,USA
Spencer Carey,1024,USA
Hayden Harris,995,USA
Chance Marsteller,1044,USA
Quentin Perez,990,USA
Gunnar Woodburn,959,USA
Cody Trybus,971,USA
Jesse Delgado,1008,USA
Noah Blakley-Beanes,962,USA
Alec Opsal,990,USA
Ben Freeman,981,USA
Montell Marion,1009,USA
Daniel Weiner,941,USA
Joshua Brown,979,USA
Taylor Summers,991,USA
Josh Anis,1001,USA
Bryce Meredith,1024,USA
Evan Henderson,978,USA
Jacob Ferris,941,USA
Melik Jimenez,962,USA
Bernard Futrell,1001,USA
Zachary Sherman,943,USA
Chris Deloza,957,USA
Jesse Vasquez,992,USA
Joshua Shields,997,USA
Jacob Thalin,998,USA
Michael Macchiavello,1086,USA
Brett Pfarr,1121,USA
Nino Bonaccorsi,977,USA
Kenneth Courts,1030,USA
Isaiah Martinez,1108,USA
Pat Downey,1136,USA
Thomas Gilman,1128,USA
Mario Mason,976,USA
Brandon Sorensen,1047,USA
Jaydin Eierman,1105,USA
Jordan Oliver,980,USA
Frank Molinaro,1077,USA
Dean Heil,978,USA
Kanen Storr,1055,USA
Domonick Demas,1037,USA
Zain Retherford,1128,USA
Frank Perrelli,967,USA
Zach Sanders,944,USA
Zane Richards,1074,USA
Joshua Rodriguez,1073,USA
Cody Brewer,1043,USA
Darian Cruz,1055,USA
David Kerr,958,USA
Marshall Keller,968,USA
Blake McNall,994,USA
Robbie Mathers,964,USA
Joey Lazor,1039,USA
Joey Ward,991,USA
Seth Seneca,964,USA
Joseph Castellino,962,USA
Patrick D'Arcy,966,USA
Dylan Schuck,991,USA
Kyle Todrank,995,USA
Benjamin Forsman,957,USA
Denton Spencer,964,USA
Tony Rupp,1011,USA
Grant Aronoff,970,USA
Brandon Wright,970,USA
Evan Wick,996,USA
Joshua Finesilver,1018,USA
Joshua Dziewa,1005,USA
Jared Frayer,1111,USA
Colby Huynh,961,USA
Jake Posey,943,USA
Brandon Supernaw,971,USA
Skyler Gonzalez,1008,USA
Christopher Weiler,984,USA
Hunter Bolen,1006,USA
Cameron Caffey,1048,USA
Keegan Hessler,959,USA
Casey Cobb,984,USA
Dylan Keeney,999,USA
Maxwell Dean,967,USA
Jeffrey Fisk,957,USA
Ronnie Caudill,957,USA
Travis Stefanik,961,USA
Roy Galvan,957,USA
Adam Rateb,957,USA
Anthony Bontempo,926,USA
Daniel Deshazer,969,USA
Daniel Van Hoose,958,USA
Aaron Trygstad,994,USA
Destin McCauley,1013,USA
Martin Verhaeghe,972,USA
Andrew Longmore,958,USA
Zehlin Storr,978,USA
Diante Cooper,1011,USA
Justin Davis,962,USA
AJ Jaffe,1033,USA
Vincent Washington,953,USA
Jacob Wright,958,USA
Matthew Alejando,971,USA
Mitchell Finesilver,1007,USA
Mike Deangelo,1003,USA
Jessy Diaz,958,USA
Bennett Paulson,979,USA
John Halajian,958,USA
Jamal Lewis,925,USA
Juan Durazo,960,USA
Cornelius Putnam,955,USA
Phil Rasmussen,979,USA
Christian Robertson,958,USA
Juan Junior Perez,942,USA
Jarrod Hinrichs,1021,USA
Brian Burns,971,USA
Kyle La Fritz,926,USA
Robert Clark,960,USA
Johnathan Aiello,998,USA
Kadeem Samuels,989,USA
Joey Lavalle,988,USA
Gable Steveson,1090,USA
Cody Walters,1007,USA
Cory Clark,960,USA
J.T. Brown,995,USA
Joshua Manu,1011,USA
Nick Nevills,969,USA
Timmy McCall,1043,USA
Riley Lefever,1047,USA
Adam Coon,1026,USA
Drew Foster,973,USA
Mark Hall,1023,USA
Nazar Kulchytskyy,950,USA
Danny Chaid,1049,USA
Nico Megaludis,1079,USA
Jeremiah Imonode,938,USA
Tate Orndorff,977,USA
Michael Kosoy,981,USA
Michael Boykin,1007,USA
Nathan Jackson,1108,USA
Dom Bradley,1098,USA
Youssif Hemida,1108,USA
Stacey Davis,975,USA
Myles Martin,1052,USA
Nicholas Heflin,1076,USA
Scottie Boykin,988,USA
Samuel Brooks,1111,USA
Matthew Finesilver,1024,USA
Geno Morelli,1025,USA
Ben Harvey,1050,USA
Nick Becker,1118,USA
Alex Dieringer,1114,USA
Zahid Valencia,1003,USA
Logan Massa,1063,USA
Brian Murphy,978,USA
Dan Vallimont,995,USA
Anthony Valencia,1039,USA
Richie Lewis,1003,USA
Thomas Gantt,1092,USA
Jason Nolf,1130,USA
Hayden Hidlay,982,USA
Anthony Ashnault,975,USA
Colton McCrystal,975,USA
Jack Mueller,1034,USA
Sean Fausz,1048,USA
